code,name,city,country,timezone,city_code
BRO,South Padre Island International Airport,South Point,US,America/Chicago,BRO
BRP,Biaru,,PG,Pacific/Port_Moresby,BRP
BRQ,Turany Airport,Slapanice,CZ,Europe/Prague,BRQ
BRR,North Bay Airport,,GB,Europe/London,BRR
BRS,Bristol Airport,Butcombe,GB,Europe/London,BRS
BRT,Bathurst Island,,AU,Australia/Darwin,BRT
BRU,Brussels Airport,Zaventem,BE,Europe/Brussels,BRU
BRV,Bremerhaven,Ihlienworth,DE,Europe/Berlin,BRV
BRW,Wiley Post-Will Rogers Memorial Airport,,US,America/Anchorage,BRW
BRX,Barahona,Santa Cruz de Barahona,DO,America/Santo_Domingo,BRX
BRY,Samuels Field,Bardstown,US,America/New_York,BRY
BRZ,Borotou,,CI,Africa/Abidjan,BRZ
BSA,Bossaso,Bosaso,SO,Africa/Mogadishu,BSA
BSB,Brasilia International Airport,Brasilia,BR,America/Sao_Paulo,BSB
BSC,Bahia Solano,Mutis,CO,America/Bogota,BSC
BSD,Baoshan Airport,Dianyang,CN,Asia/Shanghai,BSD
BSE,Sematan,,MY,Asia/Kuching,BSE
BSF,Bradshaw AAF,Kailua,US,Pacific/Honolulu,BSF
BSG,Bata Airport,Bata,GQ,Africa/Malabo,BSG
BSH,Brighton,Brighton,GB,Europe/London,BSH
BSI,Blairsville,Blairsville,US,America/New_York,BSI
BSJ,Bairnsdale,Bairnsdale,AU,Australia/Melbourne,BSJ
BSK,Biskra Airport,Biskra,DZ,Africa/Algiers,BSK
BSL,EuroAirport Swiss,,CH,Europe/Zurich,EAP
BSM,Bishe-kola,Mahmudabad,IR,Asia/Tehran,BSM
BSN,Bossangoa,Bossangoa,CF,Africa/Bangui,BSN
BSO,Basco Airport,Basco,PH,Asia/Manila,BSO
BSP,Bensbach,,PG,Pacific/Port_Moresby,BSP
BSQ,Bisbee Municipal Airport,Naco,US,America/Phoenix,BSQ
BSR,Basra International Airport,Al Basrah,IQ,Asia/Baghdad,BSR
BSS,Balsas,Balsas,BR,America/Fortaleza,BSS
BST,Bost,Lashkar Gah,AF,Asia/Kabul,BST
BSU,Basankusu,Bongandanga,CD,Africa/Kinshasa,BSU
BSV,Besakoa,Marovoay,MG,Indian/Antananarivo,BSV
BSW,Boswell Bay,,US,America/Anchorage,BSW
BSX,Bassein,Pathein,MM,Asia/Rangoon,BSX
BSY,Bardera,Baardheere,SO,Africa/Mogadishu,BSY
BSZ,Bartletts,,US,America/Anchorage,BSZ
BTA,Yaoundé,Bertoua,CM,Africa/Douala,BTA
BTB,Betou,Mongoumba,CG,Africa/Brazzaville,BTB
BTC,Batticaloa,,LK,Asia/Colombo,BTC
BTD,Brunette Downs,,AU,Australia/Darwin,BTD
BTE,Bonthe,Pujehun,SL,Africa/Freetown,BTE
BTF,Salt Lake Skypark,Bountiful,US,America/Denver,BTF
BTG,Batangafo,Batangafo,CF,Africa/Bangui,BTG
BTH,Hang Nadim International Airport,,ID,Asia/Jakarta,BTH
BTI,Barter Island Airport,,US,America/Anchorage,BTI
BTJ,Sultan Iskandar Muda International Airport,Montasik,ID,Asia/Jakarta,BTJ
BTK,Bratsk Airport,Bratsk,RU,Asia/Irkutsk,BTK
BTL,WK Kellogg Regional,Level Park-Oak Park,US,America/Detroit,BTL
BTM,Butte Airport,Butte,US,America/Denver,BTM
BTN,Bennettsville,Bennettsville,US,America/New_York,BTN
BTO,Botopasie,,SR,America/Paramaribo,BTO
BTP,Butler County - Kenny Scholter Field,Homeacre-Lyndora,US,America/New_York,BTP
BTQ,Butare,Butare,RW,Africa/Kigali,BTQ
BTR,Baton Rouge Metropolitan Airport,Brownsfield,US,America/Chicago,BTR
BTS,Bratislava Airport,,SK,Europe/Bratislava,BTS
BTT,Bettles,,US,America/Anchorage,BTT
BTU,Bintulu Airport,Bintulu,MY,Asia/Kuching,BTU
BTV,Burlington International Airport,South Burlington,US,America/New_York,BTV
BTW,Batu Licin,Sungaikupang,ID,Asia/Makassar,BTW
BTX,Betoota,,AU,Australia/Brisbane,BTX
BTY,Beatty,,US,America/Los_Angeles,BTY
BTZ,Yala Betong International Airport,Betong,TH,Asia/Bangkok,BTZ
BUA,Buka,,PG,Pacific/Port_Moresby,BUA
BUB,Municipal,Burwell,US,America/Chicago,BUB
BUC,Burketown,,AU,Australia/Brisbane,BUC
BUD,Budapest Ferenc Liszt International Airport,Vecses,HU,Europe/Budapest,BUD
BUF,Buffalo Niagara International Airport,Williamsville,US,America/New_York,BUF
BUG,Gen V Deslandes,Benguela,AO,Africa/Luanda,BUG
BUI,Bokondini,,ID,Asia/Jayapura,BUI
BUJ,Ain Eddis,'Ain el Melh,DZ,Africa/Algiers,BUJ
BUK,Albuq,An Nasirah,YE,Asia/Aden,BUK
BUL,Bulolo,,PG,Pacific/Port_Moresby,BUL
BUM,Butler,Butler,US,America/Chicago,BUM
BUN,Buenaventura,Buenaventura,CO,America/Bogota,BUN
BUO,Burao,Burao,SO,Africa/Mogadishu,BUO
BUP,Bhatinda Airport,Bhatinda,IN,Asia/Kolkata,BUP
BUQ,Bulawayo Airport,Bulawayo,ZW,Africa/Harare,BUQ
BUR,Bob Hope Airport,North Hollywood,US,America/Los_Angeles,BUR
BUS,Batumi Airport,Batumi,GE,Asia/Tbilisi,BUS
BUT,Bathpalathang Airport,Jakar,BT,Asia/Thimphu,BUT
BUU,Muara Bungo Airport,Muarabungo,ID,Asia/Jakarta,BUU
BUV,Bella Union,Tomas Gomensoro,UY,America/Montevideo,BUV
BUW,Baubau Airport,,ID,Asia/Makassar,BUW
BUX,Bunia,Bunia,CD,Africa/Lubumbashi,BUX
BUY,Bunbury,Bunbury,AU,Australia/Perth,BUY
BUZ,Bushehr Airport,Bushehr,IR,Asia/Tehran,BUZ
BVA,Beauvais-Tille Airport,Tille,FR,Europe/Paris,PAR
BVB,Boa Vista Airport,Boa Vista,BR,America/Boa_Vista,BVB
BVC,Rabil Airport,Vila de Sal Rei,CV,Atlantic/Cape_Verde,BVC
BVD,Sea Port,,US,America/Nome,BVD
BVE,Laroche Airport,Brive-la-Gaillarde,FR,Europe/Paris,BVE
BVF,Dama,,FJ,Pacific/Fiji,BVF
BVG,Berlevag Airport,Berlevag,NO,Europe/Oslo,BVG
BVH,Vilhena Airport,,BR,America/Porto_Velho,BVH
BVI,Birdsville,,AU,Australia/Brisbane,BVI
BVJ,Bovanenkovo Airport,Aksarka,RU,Asia/Yekaterinburg,BVJ
BVK,Huacaraje,,BO,America/La_Paz,BVK
BVL,Baures,,BO,America/La_Paz,BVL
BVM,Belmonte,Belmonte,BR,America/Bahia,BVM
BVO,Bartlesville,Bartlesville,US,America/Chicago,BVO
BVP,Bolovip,,PG,Pacific/Port_Moresby,BVP
BVR,Esperadinha,Vila Nova Sintra,CV,Atlantic/Cape_Verde,BVR
BVS,Breves,Breves,BR,America/Belem,BVS
BVU,Beluga,,US,America/Anchorage,BVU
BVV,Burevestnik AFB,,RU,Asia/Sakhalin,BVV
BVW,Batavia Downs,,AU,Australia/Brisbane,BVW
BVX,Municipal,Batesville,US,America/Chicago,BVX
BVY,Beverly Municipal Airport,Beverly,US,America/New_York,BVY
BVZ,Beverley Springs,,AU,Australia/Perth,BVZ
BWA,Bhairawa Airport,Bhairahawa,NP,Asia/Kathmandu,BWA
BWB,Barrow Island,,AU,Australia/Perth,BWB
BWC,Brawley,Brawley,US,America/Los_Angeles,BWC
BWD,Brownwood,Early,US,America/Chicago,BWD
BWE,Braunschweig,,DE,Europe/Berlin,BWE
BWF,Walney Island,Barrow in Furness,GB,Europe/London,BWF
BWG,Warren County,Bowling Green,US,America/Chicago,BWG
BWH,Butterworth,Permatang Kuching,MY,Asia/Kuala_Lumpur,BWH
BWI,Baltimore/Wash International Thurgood Marshall Airport,Ferndale,US,America/New_York,BWI
BWJ,Bawan,,PG,Pacific/Port_Moresby,BWJ
BWK,Brac,Bol,HR,Europe/Zagreb,BWK
BWL,Blackwell,Blackwell,US,America/Chicago,BWL
BWM,Bowman,Bowman,US,America/Boise,BWM
BWN,Brunei International Airport,Bandar Seri Begawan,BN,Asia/Brunei,BWN
BWO,Balakovo,Balakovo,RU,Europe/Volgograd,BWO
BWP,Bewani,,PG,Pacific/Port_Moresby,BWP
BWQ,Brewarrina,Brewarrina,AU,Australia/Sydney,BWQ
BWS,Blaine,White Rock,US,America/Los_Angeles,BWS
BWT,Burnie Wynyard Airport,Wynyard,AU,Australia/Hobart,BWT
BWU,Sydney Bankstown,Bankstown,AU,Australia/Sydney,SYD
BWW,Las Brujas Airport,Yaguajay,CU,America/Havana,BWW
BWX,Bandar Udara Internasional Banyuwangi,Kepuh Wetan,ID,Asia/Jakarta,BWX
BXA,George R Carr,Varnado,US,America/Chicago,BXA
BXB,Babo,,ID,Asia/Jayapura,BXB
BXC,Boxborough,Harvard,US,America/New_York,BXC
BXD,Bade,Bade,ID,Asia/Jayapura,BXD
BXE,Bakel,Diawara,SN,Africa/Dakar,BXE
BXF,Belburn,,AU,Australia/Perth,BXF
BXG,Bendigo,White Hills,AU,Australia/Melbourne,BXG
BXH,Balhash,Balqash,KZ,Asia/Almaty,BXH
BXI,Boundiali,Mankono,CI,Africa/Abidjan,BXI
BXJ,Burundai,Energeticheskiy,KZ,Asia/Almaty,ALA
BXK,Buckeye Municipal,Buckeye,US,America/Phoenix,BXK
BXL,Blue Lagoon,,FJ,Pacific/Fiji,BXL
BXM,Batom,,ID,Asia/Jayapura,BXM
BXN,Imsik,Karaova,TR,Europe/Istanbul,BJV
BXO,Buochs,Stans,CH,Europe/Zurich,BXO
BXP,Biala Podlaska,Biala Podlaska,PL,Europe/Warsaw,BXP
BXR,Bam,Bam,IR,Asia/Tehran,BXR
BXS,Borrego Springs,Borrego Springs,US,America/Los_Angeles,BXS
BXT,Bontang,Bontang,ID,Asia/Makassar,BXT
BXU,Butuan Airport,Libertad,PH,Asia/Manila,BXU
BXV,Breiddalsvik,,IS,Atlantic/Reykjavik,BXV
BXW,Harun Thohir Airport,Paloh,ID,Asia/Jakarta,BXW
BXX,Borama International,Baki,SO,Africa/Mogadishu,BXX
BXY,Baikonur Krayniy Airport,Toretam,KZ,Asia/Qyzylorda,BXY
BXZ,Bunsil,,PG,Pacific/Port_Moresby,BXZ
BYA,Boundary,,US,America/Anchorage,BYA
BYB,Dibaa,Dibba Al-Fujairah,OM,Asia/Muscat,BYB
BYC,Yacuiba,Yacuiba,BO,America/La_Paz,BYC
BYD,Beidah,Marbat,YE,Asia/Aden,BYD
BYF,Albert-Bray Airport,Bray-sur-Somme,FR,Europe/Paris,BYF
BYG,Municipal,Buffalo,US,America/Denver,BYG
BYH,Blytheville AFB,,US,America/Chicago,BYH
BYI,Rupert,Burley,US,America/Boise,BYI
BYJ,Beja International,Beja,PT,Europe/Lisbon,BYJ
BYK,Bouake,Bouake,CI,Africa/Abidjan,BYK
BYL,Bella Yella,,LR,Africa/Monrovia,BYL
BYM,C.M. de Cespedes,Bayamo,CU,America/Havana,BYM
BYN,Bayankhongor,Bayanhongor,MN,Asia/Ulaanbaatar,BYN
BYO,Bonito Airport,Bonito,BR,America/Campo_Grande,BYO
BYP,Barimunya Airport,,AU,Australia/Perth,BYP
BYQ,Bunyu,,ID,Asia/Makassar,BYQ
BYR,Laeso Airport,Byrum,DK,Europe/Copenhagen,BYR
BYS,Bicycle Lake AAF,Fort Irwin,US,America/Los_Angeles,BYS
BYT,Bantry,Bantry,IE,Europe/Dublin,BYT
BYU,Bindlacher-Berg,Bindlach,DE,Europe/Berlin,BYU
BYV,Beira Lake SPB,Colombo,LK,Asia/Colombo,CMB
BYW,Blakely Island,,US,America/Los_Angeles,BYW
BYX,Baniyala,,AU,Australia/Darwin,BYX
BZA,San Pedro,,NI,America/Managua,BZA
BZB,Bazaruto Island,,MZ,Africa/Maputo,BZB
BZC,Buzios,Armacao de Buzios,BR,America/Sao_Paulo,BZC
BZD,Balranald,,AU,Australia/Sydney,BZD
BZE,Philip S.W. Goldson International Airport,,BZ,America/Belize,BZE
BZF,Benton Field,Redding,US,America/Los_Angeles,RDD
BZG,Bydgoszcz Airport,Bydgoszcz,PL,Europe/Warsaw,BZG
BZH,Bumi Hills,Siavonga,ZW,Africa/Harare,BZH
BZI,Balikesir,Balikesir,TR,Europe/Istanbul,BZI
BZK,Bryansk International Airport,Bryansk,RU,Europe/Moscow,BZK
BZL,Barisal Airport,Barisal,BD,Asia/Dhaka,BZL
BZM,Bemolanga Airport,,MG,Indian/Antananarivo,BZM
BZN,Bozeman Yellowstone International Airport,Belgrade,US,America/Denver,BZN
BZO,Bolzano,San Giacomo,IT,Europe/Rome,BZO
BZP,Bizant,,AU,Australia/Brisbane,BZP
BZR,Beziers Vias Airport,Portiragnes,FR,Europe/Paris,BZR
BZS,Buzzards Pt S,,US,America/New_York,WAS
BZT,Eagle Air Park,Brazoria,US,America/Phoenix,BZT
BZU,Buta,Buta,CD,Africa/Lubumbashi,BZU
BZV,Maya Maya Airport,Brazzaville,CG,Africa/Brazzaville,BZV
BZX,Bazhong Enyang Airport,Bazhou,CN,Asia/Shanghai,BZX
BZY,Beltsy Airport,Balti,MD,Europe/Chisinau,BZY
BZZ,Raf Brize Norton,Carterton,GB,Europe/London,BZZ
CAA,Catacamas,Santa Maria del Real,HN,America/Tegucigalpa,CAA
CAB,Cabinda Airport,Cabinda,AO,Africa/Luanda,CAB
CAC,Cascavel Airport,Cascavel,BR,America/Sao_Paulo,CAC
CAD,Cadillac,Cadillac,US,America/Detroit,CAD
CAE,Columbia Metropolitan Airport,,US,America/New_York,CAE
CAF,Carauari,Carauari,BR,America/Manaus,CAF
CAG,Cagliari Elmas Airport,Elmas,IT,Europe/Rome,CAG
CAH,Kamau,Ca Mau,VN,Asia/Ho_Chi_Minh,CAH
CAI,Cairo International Airport,,EG,Africa/Cairo,CAI
CAJ,Canaima,,VE,America/Caracas,CAJ
CAK,Akron-Canton Airport,Greensburg,US,America/New_York,CAK
CAL,Machrihanish Airport,Campbeltown,GB,Europe/London,CAL
CAM,Camiri,Camiri,BO,America/La_Paz,CAM
CAN,Guangzhou Baiyun International Airport,,CN,Asia/Shanghai,CAN
CAO,Clayton,Clayton,US,America/Denver,CAO
CAP,Cap Haitien Airport,Okap,HT,America/Port-au-Prince,CAP
CAQ,Caucasia,Caceres,CO,America/Bogota,CAQ
CAR,Municipal,Caribou,US,America/New_York,CAR
CAS,Anfa,Casablanca,MA,Africa/Casablanca,CAS
CAT,Cascais Municipal Aerodrome,,PT,America/Nassau,CAT
CAU,Caruaru,Caruaru,BR,America/Recife,CAU
CAV,Cazombo,,AO,Africa/Luanda,CAV
CAW,Bartolomeu Lisandro Airport,Campos,BR,America/Sao_Paulo,CAW
CAX,Carlisle,Brampton,GB,Europe/London,CAX
CAY,Felix Eboue Airport,Matoury,GF,America/Cayenne,CAY
CAZ,Cobar,Cobar,AU,Australia/Sydney,CAZ
CBA,Corner Bay,,US,America/Sitka,CBA
CBB,J Wilsterman Airport,Cochabamba,BO,America/La_Paz,CBB
CBC,Cherrabun,,AU,Australia/Perth,CBC
CBD,Car Nicobar,,IN,Asia/Kolkata,CBD
CBE,Greater Cumberland Regional,Wiley Ford,US,America/New_York,CBE
CBF,Municipal,Council Bluffs,US,America/Chicago,CBF
CBG,Cambridge Airport,Fulbourn,GB,Europe/London,CBG
CBH,Leger,Bechar,DZ,Africa/Algiers,CBH
CBI,Cape Barren Island,,AU,Australia/Hobart,CBI
CBJ,Cabo Rojo,Pedernales,DO,America/Santo_Domingo,CBJ
CBK,Municipal,Colby,US,America/Chicago,CBK
CBL,Ciudad Bolivar,Ciudad Bolivar,VE,America/Caracas,CBL
CBM,Columbus AFB,,US,America/Chicago,UBS
CBN,Penggung,Weru,ID,Asia/Jakarta,CBN
CBO,Awang Airport,Awang,PH,Asia/Manila,CBO
CBP,Coimbra,Coimbra,PT,Europe/Lisbon,CBP
CBQ,Calabar Airport,Calabar,NG,Africa/Lagos,CBQ
CBR,Canberra Airport,Forrest,AU,Australia/Canberra,CBR
CBS,Oro Negro,Cabimas,VE,America/Caracas,CBS
CBT,Catumbela Airport,Catumbela,AO,Africa/Luanda,CBT
CBU,Cottbus,,DE,Europe/Berlin,CBU
CBV,Coban,Coban,GT,America/Guatemala,CBV
CBW,Campo Mourao,Campo Mourao,BR,America/Sao_Paulo,CBW
CBX,Condobolin,,AU,Australia/Sydney,CBX
CBY,Canobie,,AU,Australia/Brisbane,CBY
CBZ,Cabin Creek,,US,America/Sitka,CBZ
CCA,Chaffee AFB,,US,America/Chicago,CCA
CCB,Cable Airport,Claremont,US,America/Los_Angeles,CCB
CCC,Jardines del Rey Airport,Moron,CU,America/Havana,CCC
CCD,Century City,,US,America/Los_Angeles,LAX
CCE,Grand Case,,MF,America/Marigot,SFG
CCF,Carcassonne Airport,Pennautier,FR,Europe/Paris,CCF
CCG,Crane County Airport,Crane,US,America/Chicago,CCG
CCH,Chile Chico,Chile Chico,CL,America/Santiago,CCH
CCI,Concordia,Concordia,BR,America/Sao_Paulo,CCI
CCJ,Calicut International Airport,Ferokh,IN,Asia/Kolkata,CCJ
CCK,Cocos Islands Airport,West Island,CC,Indian/Cocos,CCK
CCL,Chinchilla,,AU,Australia/Brisbane,CCL
CCM,Criciuma,Criciuma,BR,America/Sao_Paulo,CCM
CCN,Chakcharan,Fayroz Koh,AF,Asia/Kabul,CCN
CCO,Carimagua,,CO,America/Bogota,CCO
CCP,Carriel Sur Airport,Concepcion,CL,America/Santiago,CCP
CCQ,Cachoeira,Cachoeira,BR,America/Bahia,CCQ
CCR,Buchanan Field,Pacheco,US,America/Los_Angeles,CCR
CCS,Simon Bolivar International Airport,Catia La Mar,VE,America/Caracas,CCS
CCT,Colonia Catriel,Picun Leufu,AR,America/Argentina/Salta,CCT
CCU,Netaji Subhas Chandra Bose Airport,Dam Dam,IN,Asia/Kolkata,CCU
CCV,Craig Cove,,VU,Pacific/Efate,CCV
CCW,Cowell,,AU,Australia/Adelaide,CCW
CCX,Caceres,,BR,America/Cuiaba,CCX
CCY,Municipal,Charles City,US,America/Chicago,CCY
CCZ,Chub Cay,,BS,America/Nassau,CCZ
CDA,Cooinda,,AU,Australia/Darwin,CDA
CDB,Cold Bay Airport,,US,America/Nome,CDB
CDC,Cedar City Airport,Cedar City,US,America/Denver,CDC
CDD,Cauquira,,HN,America/Tegucigalpa,CDD
CDE,Caledonia,Corozal,PA,America/Panama,CDE
CDG,Charles de Gaulle Airport,,FR,Europe/Paris,PAR
CDH,Harrell Field,Camden,US,America/Chicago,CDH
CDI,Cachoeiro Itapemirim,Cachoeiro de Itapemirim,BR,America/Sao_Paulo,CDI
CDJ,Conceicao Do Araguaia,,BR,America/Belem,CDJ
CDK,Lewis,Inglis,US,America/New_York,CDK
CDL,Candle,,US,America/Anchorage,CDL
CDN,Woodward Field,Camden,US,America/New_York,CDN
CDO,Cradock,Cradock,ZA,Africa/Johannesburg,CDO
CDP,Cuddapah,Cuddapah,IN,Asia/Kolkata,CDP
CDQ,Croydon,,AU,Australia/Brisbane,CDQ
CDR,Chadron Airport,Chadron,US,America/Denver,CDR
CDS,Childress,Meade,US,America/Chicago,CDS
CDT,Castellon,Benlloch,ES,Europe/Madrid,CDT
CDU,Camden,,AU,Australia/Sydney,CDU
CDV,Mudhole Smith Airport,,US,America/Anchorage,CDV
CDW,Caldwell Wright,Caldwell,US,America/New_York,CDW
CDY,Cagayan De Sulu,Cagayan,PH,Asia/Manila,CDY
CDZ,Cadiz,Cadiz,ES,Europe/Madrid,CDZ
CEA,Cessna Aircraft Field,,US,America/Chicago,ICT
CEB,Mactan-Cebu International Airport,Buagsong,PH,Asia/Manila,CEB
CEC,Del Norte County Regional Airport,Crescent City,US,America/Los_Angeles,CEC
CED,Ceduna Airport,,AU,Australia/Adelaide,CED
CEE,Cherepovets Airport,Tonshalovo,RU,Europe/Moscow,CEE
CEF,Westover ARB/Metropolitan,North Chicopee,US,America/New_York,CEF
CEG,Hawarden Airport,Chester,GB,Europe/London,CEG
CEH,Chelinda,Livingstonia,MW,Africa/Blantyre,CEH
CEI,Chiang Rai International Airport,Chiang Rai,TH,Asia/Bangkok,CEI
CEK,Chelyabinsk International Airport,Potanino,RU,Asia/Yekaterinburg,CEK
CEL,Cape Eleuthera,,BS,America/Nassau,CEL
CEM,Central,,US,America/Anchorage,CEM
CEN,Ciudad Obregon Airport,Antonio Rosales,MX,America/Hermosillo,CEN
CEO,Waco Kungo,Mambajao,AO,Africa/Luanda,CEO
CEP,Concepcion,,BO,America/La_Paz,CEP
CEQ,Mandelieu,Mandelieu-la-Napoule,FR,Europe/Paris,CEQ
CER,Maupertus,Fermanville,FR,Europe/Paris,CER
CES,Cessnock,Cessnock,AU,Australia/Sydney,CES
CET,Le Pontreau,Cholet,FR,Europe/Paris,CET
CEU,Oconee County,Clemson,US,America/New_York,CEU
CEV,Mettle Field,Connersville,US,America/Indiana/Indianapolis,CEV
CEW,Bob Sikes,Crestview,US,America/Chicago,CEW
CEX,Chena Hot Springs,,US,America/Anchorage,CEX
CEY,Calloway County,Murray,US,America/Chicago,CEY
CEZ,Montezuma County Airport,Cortez,US,America/Denver,CEZ
CFA,Coffee Point,,US,America/Anchorage,CFA
CFB,Cabo Frio International Airport,Cabo Frio,BR,America/Sao_Paulo,CFB
CFC,Cacador,Cacador,BR,America/Sao_Paulo,CFC
CFD,Coulter Field,Bryan,US,America/Chicago,CFD
CFE,Clermont-Ferrand Auvergne Airport,Aulnat,FR,Europe/Paris,CFE
CFF,Cafunfo,,AO,Africa/Luanda,CFF
CFG,Jaime Gonzalez Airport,Cienfuegos,CU,America/Havana,CFG
CFH,Clifton Hills,,AU,Australia/Adelaide,CFH
CFI,Camfield,,AU,Australia/Darwin,CFI
CFK,Chlef International Airport,Chlef,DZ,Africa/Algiers,CFK
CFM,Conklin (Leismer) Airport,,CA,America/Edmonton,CFM
CFN,Donegal Airport,Derrybeg,IE,Europe/Dublin,CFN
CFO,Confreza,,BR,America/Cuiaba,CFO
CFP,Carpentaria Downs,,AU,Australia/Brisbane,CFP
CFQ,Creston Valley Airport,Creston,CA,America/Creston,CFQ
CFR,Carpiquet Airport,Carpiquet,FR,Europe/Paris,CFR
CFS,Coffs Harbour Airport,Coffs Harbour,AU,Australia/Sydney,CFS
CFT,Morenci,Clifton,US,America/Phoenix,CFT
CFU,Ioannis Kapodistrias Airport,Kerkyra,GR,Europe/Athens,CFU
CFV,Municipal,Coffeyville,US,America/Chicago,CFV
CGA,Craig SPB,,US,America/Sitka,CGA
CGB,Marechal Rondon International Airport,Varzea Grande,BR,America/Cuiaba,CGB
CGC,Cape Gloucester,,PG,Pacific/Port_Moresby,CGC
CGD,Changde Airport,Doumuhu,CN,Asia/Shanghai,CGD
CGE,Cambridge,Cambridge,US,America/New_York,CGE
CGF,Cuyahoga County,Highland Heights,US,America/New_York,CLE
CGG,Casiguran,Dinalongan,PH,Asia/Manila,CGG
CGH,Sao Paulo/Congonhas Airport,Diadema,BR,America/Sao_Paulo,SAO
CGI,Cape Girardeau Airport,Scott City,US,America/Chicago,CGI
CGJ,Chingola,Chingola,ZM,Africa/Lusaka,CGJ
CGK,Soekarno-Hatta International Airport,Teluknaga,ID,Asia/Jakarta,JKT
CGM,Mambajao,San Vicente,PH,Asia/Manila,CGM
CGN,Cologne Bonn Airport,Wahn-Heide,DE,Europe/Berlin,CGN
CGO,Zhengzhou Xinzheng Airport,,CN,Asia/Shanghai,CGO
CGP,Shah Amanat International Airport,Chittagong,BD,Asia/Dhaka,CGP
CGQ,Changchun Longjia International Airport,Changchun,CN,Asia/Shanghai,CGQ
CGR,Campo Grande International Airport,Campo Grande,BR,America/Campo_Grande,CGR
CGS,College Park,,US,America/New_York,CGS
CGT,Chinguitti,Chinguetti,MR,Africa/Nouakchott,CGT
CGU,Ciudad Guayana,,VE,America/Caracas,CGU
CGV,Caiguna,Esperance,AU,Australia/Eucla,CGV
CGX,Merrill C Meigs,,US,America/Chicago,CHI
CGY,Laguindingan International Airport,Lumbia,PH,Asia/Manila,CGY
CGZ,Municipal,Casa Grande,US,America/Phoenix,CGZ
CHA,Chattanooga Airport,East Ridge,US,America/New_York,CHA
CHB,Chilas,Chilas,PK,Asia/Karachi,CHB
CHC,Christchurch International Airport,Prebbleton,NZ,Pacific/Auckland,CHC
CHF,Jinhae,Changwon,KR,Asia/Seoul,CHF
CHG,Chaoyang Airport,Chaoyang,CN,Asia/Shanghai,CHG
CHH,Chachapoyas,Chachapoyas,PE,America/Lima,CHH
CHI,Chicago FSS,,US,America/Chicago,CHI
CHJ,Chipinge,Chipinge,ZW,Africa/Harare,CHJ
CHK,Municipal,Chickasha,US,America/Chicago,CHK
CHL,Challis,Challis,US,America/Boise,CHL
CHM,Chimbote,Buenos Aires,PE,America/Lima,CHM
CHN,Jeonju,,KR,Asia/Seoul,CHN
CHO,Charlottesville Albemarle Airport,Hollymead,US,America/New_York,CHO
CHP,Circle Hot Springs,,US,America/Anchorage,CHP
CHQ,Chania International Airport,Mouzouras,GR,Europe/Athens,CHQ
CHR,Chateauroux,Chateauroux,FR,Europe/Paris,CHR
CHS,Charleston International Airport,Hanahan,US,America/New_York,CHS
CHT,Karewa,Waitangi,NZ,Pacific/Chatham,CHT
CHU,Chuathbaluk Airport,,US,America/Anchorage,CHU
CHV,Chaves,Chaves,PT,Europe/Lisbon,CHV
CHW,Jiuhuang,,CN,Asia/Shanghai,CHW
CHX,Changuinola,Changuinola,PA,America/Panama,CHX
CHY,Choiseul Bay Airport,,SB,Pacific/Guadalcanal,CHY
CHZ,State,Klamath Falls,US,America/Los_Angeles,CHZ
CIA,Ciampino-G. B. Pastine International Airport,Ciampino,IT,Europe/Rome,ROM
CIB,Ap In The Sky,,US,America/Los_Angeles,AVX
CIC,Chico Municipal Airport,Chico,US,America/Los_Angeles,CIC
CID,The Eastern Iowa Airport,Fairfax,US,America/Chicago,CID
CIE,Collie,Collie,AU,Australia/Perth,CIE
CIF,Chifeng Airport,,CN,Asia/Shanghai,CIF
CIG,Craig-Moffat,Craig,US,America/Denver,CIG
CIH,Changzhi Airport,Daxinzhuang,CN,Asia/Shanghai,CIH
CII,Cildir,Choteau,TR,Europe/Istanbul,CII
CIJ,E. Beltram Airport,Brasileia,BO,America/La_Paz,CIJ
CIK,Chalkyitsik,,US,America/Anchorage,CIK
CIL,Melsing Creek,,US,America/Nome,CIL
CIM,Cimitarra,Puerto Parra,CO,America/Bogota,CIM
CIN,Carroll,Carroll,US,America/Chicago,CIN
CIO,MCAL Lopez,Concepcion,PY,America/Asuncion,CIO
CIP,Chipata,,ZM,Africa/Lusaka,CIP
CIQ,Chiquimula,Chiquimula,GT,America/Guatemala,CIQ
CIR,Cairo,Cairo,US,America/Chicago,CIR
CIS,Canton Island,Atafu Village,KI,Pacific/Enderbury,CIS
CIT,Shymkent Airport,Shymkent,KZ,Asia/Almaty,CIT
CIU,Chippewa County Airport,,US,America/Detroit,SSM
CIV,Chomley,,US,America/Sitka,CIV
CIW,Canouan Island,,VC,America/St_Vincent,CIW
CIX,Cornel Ruiz Airport,Chiclayo,PE,America/Lima,CIX
CIY,Comiso Airport,Comiso,IT,Europe/Rome,CIY
CIZ,Coari,Coari,BR,America/Manaus,CIZ
CJA,Cajamarca Airport,Cajamarca,PE,America/Lima,CJA
CJB,Coimbatore International Airport,Irugur,IN,Asia/Kolkata,CJB
CJC,El Loa Airport,Calama,CL,America/Santiago,CJC
CJD,Candilejas,Cartagena del Chaira,CO,America/Bogota,CJD
CJF,Coondewanna Airport,,AU,Australia/Perth,CJF
CJH,Chilko Lake,Hanceville,CA,America/Vancouver,CJH
CJJ,Cheongju Airport,Cheongju-si,KR,Asia/Seoul,CJJ
